sentId,sentence
adenosine_5_4,"Third time, heart rate was 170 and 6 mg adenosine."
adenosine_5_5,"Didn't take this time, was given 12 mg and slowed heart rate."
adenosine_5_6,"Chest pressure and dizziness was a bit longer, as well as nausea."
adenosine_5_7,Doctors immediately administered anti nausea drug in IV and I felt better.
adenosine_5_8,"Always feel exhausted after my heart races, I am now on a drug to control my heart rate."
adrenal-extract_1_0,Snapped achilles tendon while on this pill.Specialist & nutritionist stated that adrenal cortex made tendon(and bones) softer and prone to breaking.
adrenal-extract_2_0,I took this for only one month.
adrenal-extract_2_1,"I'm in my early forties, and it completely messed up my period."
adrenal-extract_2_2,"It's 4 weeks late, and I've taken 5 pregnancy tests- all negative."
adrenal-extract_2_3,"My guess is that it does mimic estrogen, so be careful out there."
adrenal-extract_2_4,I took this to get more energy as I had 3 kiddos.
adrenal-extract_2_5,All it's done is cause me more stress by missing my period.
adrenal-extract_3_0,When life gets really crazy and my adrenals are overly stressed and I'm not sleeping and I'm nervous this is my go to support.
adrenal-extract_3_1,I don't have a thyroid so I have to supplement my adrenals.
adrenal-extract_3_3,I don't take it all the time only when the stress is ridiculous - maybe for a week or two.
adrenal-extract_4_0,Two months in and I wasn't sure why my doc prescribed these other than I've been tired and stressed.
adrenal-extract_4_1,"I feel worse, my skin is not looking good, I'm tired and wake up around 4 am every morning."
adrenal-extract_4_2,After reading everything about it on this site I threw away the rest of them.
adrenal-extract_4_3,I'll join a gym instead and go get a facial.
adrenal-extract_5_0,"eXPERIENCED HEART PALPITATIONS, HIGH BLOOD PRESSURE, IRREGULAR HEART BEAT, DIZZINESS, SHORTNESS OF BREATH."
african-wild-potato_1_0,"Being a heavy smoker, at some point feeling serious pain, I was diagnosed with a Reinke's Edema."
african-wild-potato_1_1,I was told to stop smoking.
african-wild-potato_1_2,"Then I started taking African Potato as a tea, 5 days on, 7 days off."
african-wild-potato_1_3,"About a year later, the same doctor was very surprised to see that the edema was gone."
african-wild-potato_1_4,"Now I smoke again, and when I feel the symptoms I take the Potato tea until the symptoms go away."
agar_1_2,1 tsp of agar agar powder in 1 1/3 cups of hot tap water soften for 5  minutes or more.
agar_1_3,then microwave on high for 5 minutes.
agar_1_8,Powder is easiest to use.
agar_1_9,Must boil water/ agar agar to dissolve.
agaricus-mushroom_2_0,helped with recovery after workouts
ahcc_1_0,Started taking AHCC after my abnormal pap-smear  results.
ahcc_1_1,Pap results showed HPV and pre-cancerous cells(3 years in a row).
ahcc_1_2,Took AHCC for approximately 1 year.
ahcc_1_3,"Latest results came back nornmal, no HPV and no pre-cancerous cells."
ahcc_2_0,I started taking AHCC after ovarian cancer chemotherapy which left me open for all bugs going around.
ahcc_2_1,I don't even get colds anymore.I really trust this product to keep my immunity high.
ahcc_2_2,(9years since diagnosis of cancer no recurrence and they gave me 24 months to live.)
ahcc_3_0,I took this for leaky gut and diverticulitis and my results were both very good and bad.
ahcc_3_1,I immediately felt less inflammation in my body and desired to eat better foods naturally with no prodding.
ahcc_3_2,In fact I was drawn to cabbage.
ahcc_3_4,But within a few weeks i developed arthritis symptoms in hip and leg.
ahcc_3_5,"So not sure if this triggered a ""healing event"" or if it just simply triggered arthritis."
ahcc_3_6,I stopped and the arthritis is gone.
ahcc_3_7,But I miss the good feeling I got - minus the hip and leg pain.
ahcc_4_0,"after taking AHCC for 3 weeks experienced joint pain, nausea and fever."
ahcc_4_1,Stopped taking and symptoms improved
alfalfa_3_0,Alfalfa increases photo-sensitivity so please wear sunscreen and protect yourself if you are using this supplement.
algin_1_0,I use Gavison Advance which I purchase from the UK.
algin_1_3,"Product has sodium alginate, bicaronate and calcium carbonate (in a suspension with flavoring)."
algin_1_4,I use if only for my non-acid GERD/reflux.
algin_1_5,It works wonders for me.
aloe_1_0,Having a skin rash on 200mg.
aloe_2_0,"I have horrible GERD/Acid Reflux, IBS, Constipation."
aloe_2_1,"I have taken myself off all meds, and only use the Herbalife Aloe Vera Concentrate One cap in the the morning, and before bed."
aloe_3_0,Due to medicationI have horrible constipation.
aloe_3_1,Cape aloe has been the ticket for regular relief.
aloe_3_2,When I don't take it I'm backed up again.
aloe_4_0,I took Cape aloe capsules (450 mg) at night before bedtime.
aloe_4_1,"It absolutely helped with my chronic constipation, but there were also episodes where I had diarrhea and had to find a bathroom fast."
aloe_4_2,It also caused my menstrual cycle to start (after not having one for 25 years) and it has continued for two months!
aloe_4_3,I quit taking the capsules and my period stopped within a day.
alpha-gpc_2_0,"It's an ingredient along with L-theanine, Alpha GPC, Choline, and Phosphatidylserine, in an over the counter ""energy"" drink I started trying last year."
alpha-gpc_2_1,I repair PC's and there are times when the brain just gets strained from the countless details that repairs can entail.
alpha-gpc_2_3,"Brain strain was just not there anymore, and fine details were not as easy to miss remembering."
alpha-gpc_2_4,I did not get the headaches others have described.
alpha-gpc_2_5,I'm a user for life.
alpha-gpc_3_0,"Hormonal balance, energy, help with work-out/exercise, & mental clarity and comprehension."
alpha-gpc_5_0,"I am not prone to headaches at all, but with Alpha GPC I got nasty daily headaches in the front right."
alpha-gpc_5_1,They lasted all day long.
alpha-gpc_5_2,"After stopping the Alpha GPC, the headaches went away."
alpha-gpc_5_3,I did this a few times to make sure.
alpha-hydroxy-acids_1_1,along w l-carnitine & coq10 for energy &msm or fish oil for inflamation.
alpha-hydroxy-acids_1_2,now able to work & have energy for exercise at night
alpha-hydroxy-acids_2_0,I was diagnosed with FM 17 years ago.
alpha-hydroxy-acids_2_1,Have taken just about everything out there.
alpha-hydroxy-acids_2_2,Malic acid & magnesium have been more effective than any Rx.
alpha-hydroxy-acids_2_5,"Boy, do I feel it when the fog is thick & I forget my pills."
alpha-hydroxy-acids_2_6,"I'm a nurse, have introduced this to several others that praise M&M treatment too."
alpha-hydroxy-acids_3_0,malic acid with magnesium helped somewhat with my fm achiness.
alpha-hydroxy-acids_3_2,"my main symptoms are fatigue,widespread muscle pain, and brain fogs"
alpha-ketoglutarate_2_0,AAKG works by relaxing/expanding one's blood vessels.
alpha-ketoglutarate_2_3,"If you're alive, it works."
alpha-ketoglutarate_2_4,Your blood flow will improve; in some cases it will improve a lot.
alpha-ketoglutarate_2_5,A woman in Cal referred to this as liquid viagra because it increases blood flow really well in every part of your body.
alpha-ketoglutarate_4_0,I am border line Diab type 2.
alpha-ketoglutarate_4_1,Metformin was causing illness and weight gain.
alpha-ketoglutarate_4_2,"I now take 5,000IU of Vit D and 5g of AKKG to stimulate insulin production."
alpha-ketoglutarate_4_3,I have had no ill effects after 6 weeks and feel better than I have for a year.
alpha-ketoglutarate_5_0,"I took this in the form of Anator P70, a supplement distributed by muscletech."
alpha-ketoglutarate_5_1,"At the time I was lifting weights religiously, five days a week."
alpha-ketoglutarate_5_3,When I started taking the supplement I noticed I had almost zero soreness the days following workouts.
alpha-ketoglutarate_5_4,"I took this product for two months, changing nothing else and broke through my plateau before the two week mark."
alpha-ketoglutarate_5_5,I realize the supplement was more of a cocktail with many ingredients.
alpha-ketoglutarate_5_6,It worked very effectively for me.
alpha-ketoglutarate_5_7,"One note, the aftertaste is horrible, but worth it."
alpha-linolenic-acid_2_0,"Type 2 Diabetts and high blood pressure,also Peripal neurophaty."
alpha-linolenic-acid_5_0,"If you are on warifin, it reacts causing your blood clotting effectiveness to change."
alpha-linolenic-acid_5_1,You must be monitored by your physican with your INR's.
alpha-lipoic-acid_1_0,I really hate using star ratings because I havena?
alpha-lipoic-acid_1_1,?t been able to use it long enough to realize its effectiveness on my neuropathy because of the intense heartburn I experienced.
alpha-lipoic-acid_1_2,"After only two days of using the Alpha-Lipoic Acid, my heartburn was the worse I have had in years."
alpha-lipoic-acid_1_4,"The heartburn attacks were scary, as the second one was way worse than the first."
alpha-lipoic-acid_2_0,I have been taking R-Alpha Lipoic Acid 300 mg in the morning and 300 mg at bedtime for my neuropathy.
alpha-lipoic-acid_2_1,"Started this routine about 3 weeks ago and have noticed that my pain is alot less,not completely gone,but tolerable."
alpha-lipoic-acid_4_0,"Soles of feet, not painful, but extremely sensitive to touch and a medium numbness."
alpha-lipoic-acid_4_1,Sensitivity is all but gone.
alpha-lipoic-acid_4_2,"Mild numbness still present, but easily tolerated."
amaranth_1_0,I ate amaranth cooked together with oatmeal and reduced my cholesterol by 29 points within 8 weeks.
american-pawpaw_1_0,I have been taking Paw Paw for breast cancer.
american-pawpaw_1_1,I want to know its interaction with other supplements and medicines.
american-pawpaw_2_0,I have had cervical cancer twice.
american-pawpaw_2_1,I took PAW PAW cell reg and it disappeared both times.
american-pawpaw_2_3,I did not experience side effects.
american-pawpaw_2_4,"The second time, the put five holes in my stomach and the cancer had gone."
american-pawpaw_3_0,"I had skin cancer on my left hand, I decided to try this before I took the surgical option."
american-pawpaw_3_1,After about a month the cancer cells scabbed over and when the scabs fell off so to did any sign of cancer.
american-pawpaw_3_2,Amazingly I had a wart on my right ring finger it did the same.
american-pawpaw_3_3,My age spots are all vanishing six weeks in and I had three cyst's that have been with me for year are all gone.
american-pawpaw_3_4,No side effects from taking it as others have stated.
american-pawpaw_3_5,Have not read that my experience is expected but I love it.
american-pawpaw_4_0,"Used to augment chemo tx, so it's impossible to know if it had a direct effect on Stage IV ovarian cancer."
american-pawpaw_4_1,"I've read that it lowers the CA-125 range (but then, so does the weather) and doesn't have direct impact on tumor."
american-pawpaw_4_2,"However, I've done quite a bit of research on the studies conducted through Purdue University, Dr. McLaughlin's conclusions from 1997."
american-pawpaw_4_3,"Only one agency produces it, Nature's Sunshine."
american-pawpaw_4_4,"Runs kinda expensive, but compared to tumor surgery it's a breeze."
american-pawpaw_4_5,"I'm going to keep taking it, alternating with Ojibwe tea."
american-pawpaw_5_1,All by inhibiting the ATP which every cell in the body needs to survive!
american-pawpaw_5_2,It's like taking water from a plant and letting it bake in the hot sun.
american-pawpaw_5_7,pawpawresearch.com says that pawpaw works.
american-pawpaw_5_9,I wrote pawpawresearch.com and told them about these side effects and that university studies show it kills brain cells and they were very rude.
american-pawpaw_5_10,"We never heard of that da da da, ever - none etc."
american-pawpaw_5_11,"No dear sir nothing, just rude."
american-pawpaw_5_12,No wonder they also own www.healthy-sunshine.com They would lose sales if they posted what I showed them from pubmed.
american-pawpaw_5_13,Anything to make a buck and keep your mouth shut?
american-pawpaw_5_15,DO NOT TAKE PAW PAW OR YOU MAY DIE.
andrographis_1_0,"As soon as I feel cold symptoms coming on such as sore throat or cough, etc..., I begin taking Andrographis Plus."
andrographis_1_2,I have found this reduces the duration considerably or eliminates any symptoms.
andrographis_1_3,The only side effect I have is some slight gastric upset.
andrographis_2_0,I have used this several times at the first sign of runny nose or sore throat.
andrographis_2_1,Each time symptoms disappeared quickly.
andrographis_2_2,I only took the supplement until the symptoms were gone.
andrographis_2_3,Swanson Vitamins brand was used.
andrographis_3_0,I have a history of sinus infections.
andrographis_3_1,Came down with a terrible cold and developed all the symptoms of infection.
andrographis_3_2,After one treatment of andrographis the symptoms began to abate.
andrographis_3_3,I've been taking two pills a day for three days and my symptoms have totally dissipated.
andrographis_3_4,I plan to continue taking the supplement for a full 7 days and then discontinue.
androstenediol_1_0,Today's 1-Andro products are not methylated.
androstenediol_1_1,"Hence, damage to the liver like most steroidal products are unlikely."
androstenediol_1_2,"The liver contains the necessary enzyme needed to convert 1-Andro into 1-testosterone, but this process does not in any way harm liver function."
androstenediol_1_3,1-Andro will convert through a two step process into the substance known as  1-testosterone.
androstenediol_1_4,These newer andro products that are on the market really work and many of them have university studies to back them up.
androstenediol_1_5,I saw absolutely amazing results with 1-andro and have been blown away when I paired it with 4-andro.
androstenediol_1_6,The only real drawbacks that I had when using this product was feeling some lethargy later in the day.
androstenediol_1_7,This compound produces lean and steady gains aid not convert to estrogen or DHT.
androstenediol_1_8,"Because of this,  estrogen and hair loss will not be an issue for most people."
androstenediol_1_9,Check out this article for an in depth review of the compound and what the best options out right now are.
androstenedione_1_0,All Im gonna say is bitches lie about everything just ask Adam about that bitch Eve.
androstenedione_2_1,"We both had awesome gains, took two weeks off and started another 30day cycle but lift partner didna?"
androstenedione_2_2,"?t my max went from 290lbs to 340lbs within 30days, my lift partners max stayed at under 300lbs."
androstenedione_2_3,Super fast gains made me feel awesome!
androstenedione_2_4,This being classified as a roid is total BS US gov couldna?
androstenedione_2_5,"?t make any money off of it so they made it illegal, imagine that."
androstenedione_3_0,"Responding to the one review included here, there is a wealth of scientific evidence that this supplement is ineffective and poses many risks."
androstenedione_3_1,This is a summary of one review from NYU medical center.
androstenedione_3_2,More research can be located if you look at the bibliography on the page.
androstenedione_3_3,Please do not believe this fool.
androstenedione_3_4,"""Androstenedione is said to enhance athletic performance and strength by increasing testosterone production, thereby building muscle."
androstenedione_3_6,"(2-7 links to studies) It did, however, increase estrogen levels, an effect that would not be considered favorable."
androstenedione_3_8,"8,11 The most consistent effect of androstenedione is to increase estrogen levels."
angelica_1_0,I took this tea to prevent having to get up o~in the night to urinate.
angelica_1_1,Found I slept better than I have for years!
angelica_1_2,Also slept a long time after lunch.
angelica_1_3,Perhaps am taking too much?
angelica_1_4,"About 1 tablespoon boiled in water, makes 2 small cups."
angelica_1_5,One in the morning and the second in the evening.
angelica_1_6,"A horrible taste though, added some honey"
angelica_2_0,Somewhat effective due to very URGENT and SERIOUS side effect.
angelica_2_2,DO NOT USE FOR MORE THAN 1-2 wks and ALWAYS A LOW DOSAGE.
angelica_2_3,I drank tea of Angelica and couldn't wash my face without double handfuls of blood from my nose.
angelica_3_0,Works very well but need to take two daily
angelica_4_0,I drink Angelica Root tea for help with anxiety (college grad student studying Modern Physics and Astrophysics) and stress related disorders.
angelica_5_0,i use it for sleep disorders (ptsd) burn with incense prior to sleep.
angels-trumpet_1_0,Accidentally poisoned when pruning some Brugmansia for my nursery.
angels-trumpet_1_1,Ended up with an eye dilated and felt bad even though I ingested none.
angels-trumpet_1_2,Wear gloves and eye protection when working with this plant.
angels-trumpet_1_3,"Taking it on purpose, that would be nuts in my opinion."
angels-trumpet_2_0,"Angels trumpet,  datura, is a deadly poison!"
angostura_1_1,Would advise anyone suffering from asthma to check with a doctor first before taking.
anise_3_0,this article is lacking alot of the uses/benefits of anise and should be reviewed.. recommend users to search for better source on anise
anise_4_1,The side of my throat was sore.
anise_4_2,I  chewed a pinch of the seeds and the soreness left my throat.
anise_4_3,When I feel a cold coming on.
anise_4_4,I have been taking a pinch and it does the trick.
annatto_1_0,I have had Tinitus for more than 20 years.
annatto_1_1,"It never goes away but it varies greatly in volume, from being barely noticeable to a very uncomfortable 11KHz whistle."
annatto_1_2,I have been aware for some time that I have within the past 24h consumed coloured food.
annatto_1_3,When I check the ingredients label Annatto is always listed.
annatto_1_4,"If I avoid such additives, my Tinnitus is not a problem."
annatto_2_0,"I use annatto seeds for pancreatic cancer as it has a high concentration of tocotrienol, which MAY be helpful."
annatto_2_1,I use 5G a day blended into a fruit and vegetable juice mixture.
annatto_2_2,"As far as I can tell, I have had no ill effects."
annatto_2_3,I do not know whether it is helpful for my cance rbut I remain alive 5 years after diagnosis.
annatto_3_1,"My latest trip-up was eating Doritos 'Tangy Cheese' flavour tortilla chips at a party, it didn't last long for me!"
annatto_3_2,"Beware, it's in red cheese, ice-cream, batters, even soap!"
annatto_5_0,I am allergic to most red foods and to Red #40.
annatto_5_2,A bit of experimentation confirmed that the rash was associated with the annatto.
apoaequorin_1_0,"This product, Prevagin, does not lost possible side effects like most products do."
apoaequorin_1_1,I looked it up on my Kindle.
apoaequorin_1_3,Knowledge is a good thing!
apoaequorin_1_4,I woke up with the most God-awful migraine at 2:00 a.m.
apoaequorin_1_5,I couldn't grab the Excedrin fast enough!
apoaequorin_1_6,After reading the main ingredient could cause headaches I found my answer.
apoaequorin_1_7,Another ingredient is the artificial sweeteners which makes it palatable to chew up.
apoaequorin_1_10,No wonder I went to the bathroom 3 times with loose poop!
apoaequorin_1_11,If anyone is prone to headaches or sensitive to that artificial sweeteners deal do not buy this.
apoaequorin_1_12,I bought the extra strength at CVS.
apoaequorin_1_13,I will return it to the pharmacy and get my $60 back.
apoaequorin_1_15,I thought it was $41 but that's the cost of the regular strength.
apoaequorin_2_1,I've been taking them for about 90 days.
apoaequorin_2_2,I would recommend the product.
apoaequorin_3_0,I had to take Prevagen reg strength the full 90 days before I discovered my good memory returning.
apoaequorin_3_1,"Paying bills timely, remembering important appointments and an added benefit of wanting to get things done and doing them."
apoaequorin_3_2,I feel good about myself again.
apoaequorin_3_3,I make sure to set the money aside so I donAC/A?A?t miss even one day.
apoaequorin_3_4,"For me, a necessary investment."
apoaequorin_3_5,I tried the extra strength.
apoaequorin_3_6,ItAC/A?A?s too much for me.
apoaequorin_3_7,I started seeing tiny shadows of things that werenAC/A?A?t there.
apoaequorin_3_8,I went straight back to regular strength and the shadows stopped.
apoaequorin_3_9,IAC/A?A?m now 6 months in and am very happy with the results.
apoaequorin_3_10,I canAC/A?A?t take antidepressants or anti anxiety meds.
apoaequorin_3_11,Prevagen is nothing like those.
apoaequorin_3_12,"ItAC/A?A?s gentle on me, like I canAC/A?A?t feel it."
apoaequorin_3_13,ItAC/A?A?s effects are in the good positive change back to a much needed normal thinking person.
apoaequorin_4_1,I've been taking for 10 days and have had headache 9 days.
apoaequorin_5_1,?ve had memory problems from mini- strokes.
apoaequorin_5_2,I started on 10mg went to 20mg.
apoaequorin_5_3,Fantastic my memory is much better.
apoaequorin_5_4,I did not tell my husband I went off of it after 5 weeks to do a test on myself and him.
apoaequorin_5_5,"So while being off my husband made the remark,a?I dona?"
apoaequorin_5_6,"?t think those pills meaning prevagen, are helping youa?."
apoaequorin_5_7,"I laughed and said,a? I know they did help me Ia?"
apoaequorin_5_8,?ve been off of them for 5 weeks and Ia?
apoaequorin_5_9,?m lost at certain short term memory againa?.
apoaequorin_5_10,I guess this means my trial of seeing if ita?
apoaequorin_5_11,?s mind over matter failed.
apoaequorin_5_12,My husband noticed the difference when I went off of them without his knowledge which I thought I noticed also.
apoaequorin_5_13,Back on them the capsule I believe works better and extra strength.
apoaequorin_5_14,I hope some other company competes with them in the same mix and brings the prices down.
apoaequorin_5_15,At 2.00 a day they are quite expensive.
apple_1_0,I am a Gallstone sufferer of approximately 5yrs.
apple_1_1,"Long before I was actually diagnosed with gallstones, I found that eating apples relieved my symptoms."
apple_1_3,I found them best effective if the skin was left on.
apple_1_4,I find them very good for relieving wind too and much better than antacids and paracetamol that my Dr suggested for relieving pain.
apple_1_5,"I would encourage others with my condition to try them, I just wish I had found their effectiveness much sooner."
apple_1_6,I also would recommend them for suffers of Gastric Reflux; I found them much more effective than Omeprazol etc.
apple_1_7,They reduce acid and wind which are prominent symptoms of the condition...quickly.
apple_1_8,I consider them my little wonder food.
apple-cider-vinegar_1_0,"Okay, so if you are looking to lose some weight, this is a great option."
apple-cider-vinegar_1_1,Using Bragg's Apple Cider Vinegar combined with herbal tea is how I did it.
apple-cider-vinegar_1_2,"But if you have a sensitive stomach, PLEASE, be careful and talk to your doctor."
apple-cider-vinegar_1_3,I had been pooping liquid for multiple days.
apple-cider-vinegar_1_4,"After talking to my doctor, he recommended me to refrain from this diet, even though I had lost 10 pounds in 8 days."
apple-cider-vinegar_1_5,"It also gave me endless nausea, so if you get queasy easy, this is not for you."
apple-cider-vinegar_2_0,I have an issue with Acid reflux.
apple-cider-vinegar_2_1,I pair this with lemon and honey.
apple-cider-vinegar_2_2,I don't recommend using more than 1-2 teaspoons with a glass water.
apple-cider-vinegar_2_3,Any more is too much.
apple-cider-vinegar_2_4,I use this to help with indigestion due to acid reflux and too much acid.
apple-cider-vinegar_2_5,I was getting diarrhea due to too much acid in my system and I use this method to alkalize my body.
apple-cider-vinegar_2_6,This method will not be effective for you if you don't change your diet to work with it.
apple-cider-vinegar_2_7,That means cutting out acidic and fatty foods.
apple-cider-vinegar_2_8,I also use 1-2 spoons of baking soda to help alkalize my body.
apple-cider-vinegar_2_9,"with this method, I highly recommend drinking Alkaline water for maximum benefits, or plain water regularly throughout the day."
apple-cider-vinegar_2_10,This has produced the best benefit for me.
apple-cider-vinegar_2_11,"Also, switch to a diet of eating more veggies with every meal."
apple-cider-vinegar_2_12,veggies will be most effective for helping with digestion.
apple-cider-vinegar_2_13,I used a store bought bottle of organic apple cider vinegar with mother.
apple-cider-vinegar_2_14,I've seen instant benefits and results.
apple-cider-vinegar_2_15,cured my stomach pain and indigestion
apple-cider-vinegar_3_0,"I have taken 2 oz of Organic ACV, mixed with honey and 6 oz."
apple-cider-vinegar_3_4,"Lowered pain, increased energy, and easier bowel movements."
apple-cider-vinegar_3_5,"Now, not easy to ingest."
apple-cider-vinegar_3_7,But lost a large amount of weight in a healthy but seemingly short time.
apple-cider-vinegar_3_8,Do not recommend exceeding the 6 oz/day of OACV.
apple-cider-vinegar_3_9,Also note it can increase the effectiveness of whatever medication or supplements that you are taking.
apple-cider-vinegar_3_11,Don't recommend mixing natural remedies.
apple-cider-vinegar_4_1,"I had ice cold feet for years,now I have no problem with circulation.I take it for the other benefits it provides."
apple-cider-vinegar_4_2,I take 1 tablespoon ACV with herbal tea and tsp.honey.
apricot-kernel_1_1,?ve lost many family members who used apricot kernel for cancer including lung and rare blood cancers.
apricot-kernel_1_5,?t waste your time people It would have been easy surgury six months ago but i stupidly believed in  apricot kernels
apricot-kernel_2_0,I am scheduled for robotic prostate surgery in Denver on the 3rd of January 2019.
apricot-kernel_2_2,"I have just been taking Apricot Kernels for about 1 1/2 weeks now, and I am experiencing a shortness of breathe."
apricot-kernel_2_3,I am taking 5 kernels 3 times per day.
apricot-kernel_2_4,I have total faith in this method of treating cancer.
apricot-kernel_2_5,I have had a PSA reading of 24.
apricot-kernel_2_6,Recent blood test still showed 24.
apricot-kernel_2_8,"I have been fasting for 3 days now with no solid food, and just the Apricot Kernels,  We will see what happens."
apricot-kernel_2_9,I am writing this as a POSITIVE experience.
apricot-kernel_3_0,I was given 6 mths to live 50 yrs ago this yr from riticuleum cell sarcoma.
apricot-kernel_3_1,I took this medication along w/a very strict diet
apricot-kernel_4_0,I was recently diagnosed with stage one breast cancer.
apricot-kernel_4_1,I started taking b-17 on the day I got the news.
apricot-kernel_4_2,After only 3 weeks of use my tumor went from 3cm to 1 cm.
apricot-kernel_4_3,I will continue on this journey until my surgery date and perhaps By then I will not have or need surgery.
apricot-kernel_4_4,I feel better and it has done no harm to me what so ever.
apricot-kernel_4_6,"So far I am very happy with my results, and the doctors are very puzzled regarding my case."
apricot-kernel_5_0,6 years ago I was diagnosed with stage 3 breast cancer .
apricot-kernel_5_1,"Had the surgery and was told that because it was an aggressive type, I would have to have 6 chemo treatments."
apricot-kernel_5_2,I had one and got so dick I said no more.
apricot-kernel_5_3,I am cancer free and will take apricot pitts for the rest of my life.
apricot-kernel_5_4,My husband had diagnosed with skin cancer on his ear and was scheduled for surgery.
apricot-kernel_5_5,He started taking 6 apricot seeds daily and cancer was gone by the time of surgery.
aristolochia_2_0,Dicen que esta planta es cancerigena y altera el adn
arnica_1_0,Just applied arnica oil to patch of chigger bites that have plagued me for a week.
arnica_1_1,"Immediate total relief, when nothing else worked and burned or tingled."
arnica_1_2,I'll see how long the relief lasts.
arnica_2_0,I  used  arnica  30x  for  my dog  when  he  had  a  vistubula problem  and  he  couldn't walk  and  it  helped him.
arnica_2_1,go  for  it  and  chamomile also  to  keep him calm.
