ingredient,first_sentences
alpha-alanine,Alpha-alanine seems to be safe when used appropriately for a short time.
alpha-gpc,Alpha-GPC seems to be safe when used appropriately.
alpha-ketoglutarate,Alpha-ketoglutarate is  POSSIBLY SAFE  for most adults when used appropriately.
alpha-linolenic-acid,Alpha-linolenic acid is  LIKELY SAFE  for most adults when used in amounts found in foods.
alpha-lipoic-acid,"Alpha-lipoic acid is  POSSIBLY SAFE  for most adults when taken by mouth for up to 4 years, when used intravenously for up to 3 weeks, or when applied to the skin as a cream for up to 12 weeks."
alpine-ladys-mantle,It is not known if alpine lady's mantle is safe or what the possible side effects might be.
alpine-ragwort,"There’s a lot of concern about using alpine ragwort as medicine, because it contains chemicals called hepatotoxic pyrrolizidine alkaloids (PAs), which may block  blood  flow in the veins and cause  liver  damage. Hepatotoxic PAs might also cause  cancer  and  birth defects."
alpinia,Alpinia is  LIKELY SAFE  for most adults when taken by  mouth  in amounts commonly found in foods.
amaranth,It is not known if amaranth is safe or what the possible side effects might be.
ambrette,Ambrette is  POSSIBLY SAFE  when taken by  mouth  in amounts found in food.
american-adders-tongue,It is not known if American adder’s tongue is safe.
american-bittersweet,There isn't enough information available to know if American bittersweet is safe or what the possible side effects might be.
american-chestnut,American chestnut is safe for most people in the amounts found in food and beverages.
american-dogwood,It is not known if American dogwood is safe.
american-elder,"American elder flowers or cooked, ripe fruit are safe for most adults in the amounts found in foods."
american-ginseng,"American ginseng is  LIKELY SAFE  when taken by mouth appropriately, short-term."
american-hellebore,American hellebore is  LIKELY UNSAFE  when taken by  mouth  or applied to the  skin.
american-ivy,There isn’t enough information to know if American ivy is safe.
american-mistletoe,American mistletoe is  POSSIBLY UNSAFE  when taken by  mouth.
american-pawpaw,"American pawpaw is  POSSIBLY SAFE  when applied to the  skin  by adults and children, short-term."
american-spikenard,There isn't enough information to know if American spikenard is safe.
american-white-water-lily,There isn't enough information to know if American white water lily is safe.
andiroba,There isn’t enough information available to know if andiroba is safe to use.
andrachne,There isn't enough information to know if andrachne is safe or what the possible side effects might be.
andrographis,"Andrographis is  LIKELY SAFE  when taken by mouth appropriately, short-term."
androstenediol,Androstenediol is  POSSIBLY UNSAFE  for most people when taken by  mouth.
androstenedione,Androstenedione is  POSSIBLY UNSAFE  for most people when taken by mouth.
androstenetrione,Androstenetrione might be  UNSAFE  for anyone.
angelica,Angelica is  LIKELY SAFE  when taken by mouth in amounts normally found in foods.
angels-trumpet,Angel's trumpet is  UNSAFE  for everyone.
angostura,Angostura extract is  LIKELY SAFE  for most adults when used in amounts commonly found in foods or drinks.
anhydrous-crystalline-maltose,Anhydrous crystalline maltose is  POSSIBLY SAFE  when taken by  mouth  as a medicine for up to 6 months.
anise,Anise is  LIKELY SAFE  for most adults when taken by mouth in amounts typically found in foods.
annatto,Annatto is  LIKELY SAFE  for most people when used in food amounts.
antineoplastons,Antineoplastons A10 and AS2-1 are  POSSIBLY SAFE  when taken by mouth or injected intravenously (by IV) in appropriate amounts for a short time.
apoaequorin,Apoaequorin is  POSSIBLY SAFE  when taken by  mouth  appropriately.
apple,"Apples are  LIKELY SAFE  for most people, as long as the seeds aren't eaten."
apple-cider-vinegar,Consuming apple cider vinegar in food amounts is  LIKELY SAFE.
apricot,Apricot is safe when consumed as a food.
apricot-kernel,Apricot kernel is  LIKELY UNSAFE  to take by mouth or as an injection into the veins (by IV).
arabinoxylan,There isn't enough reliable information to know whether arabinoxylan is safe.
arenaria-rubra,There isn't enough information to know if arenaria rubra is safe or what the possible side effects might be.
aristolochia,Aristolochia is  UNSAFE.
arnica,Arnica is  POSSIBLY SAFE  when taken by mouth in the amounts commonly found in food or when applied to unbroken skin short-term.
arrach,There isn't enough information to know if arrach is safe.
arrowroot,Arrowroot is  LIKELY SAFE  when the starch is used in foods.
arsenic,Arsenic is  LIKELY SAFE  when eaten in normal food amounts.
artemisia-herba-alba,There is not enough information to know if Artemisia herba-alba is safe.
artichoke,Artichoke is  LIKELY SAFE  when consumed in amounts used in foods.
arum,Arum is  UNSAFE  when taken by  mouth.
asafoetida,Asafoetida is  LIKELY SAFE  for most people in the amounts typically found in foods.
asarum,"Asarum is  POSSIBLY SAFE  when taken by  mouth  short-term, as long as it isn’t contaminated with a chemical called aristolochic acid."
ascorbigen,Ascorbigen seems to be safe for use for up to one month.
ash,There isn’t enough information to know if ash is safe to use as medicine.
ashitaba,There is not enough information available to know if ashitaba is safe.
ashwagandha,Ashwagandha is  POSSIBLY SAFE  when taken by mouth short-term.
asian-water-plantain,Asian water plantain is  POSSIBLY UNSAFE  when taken by mouth.
asparagus,Asparagus is safe when eaten in food amounts.
asparagus-racemosus,There is not enough information available to know if asparagus racemosus is safe.
aspartic-acid,Aspartic acid is  LIKELY SAFE  when consumed in food.
aspen,There isn't enough information to know if aspen is safe.
astaxanthin,Astaxanthin is  LIKELY SAFE  when it is consumed in amounts found in food.
astragalus,Astragalus is  POSSIBLY SAFE  for most adults when taken by mouth or given intravenously (by IV) under the supervision of a medical professional.
atlantic-cedar,Atlantic cedar oil is  POSSIBLY SAFE  for most people when applied to the skin for up to 7 months.
atractylodes,"Atractylenolide, a chemical found in atractylodes, seems to be safe when taken in appropriate amounts (1."
autumn-crocus,Autumn crocus is  UNSAFE.
avens,Avens is safe when used in small amounts as a food flavoring.
avocado,Avocado is  LIKELY SAFE  for most people when the fruit is eaten in food amounts.
avocado-sugar-extract,It is not known if avocado sugar extract is safe.
ba-ji-tian,Ba ji tian is  LIKELY SAFE  for most people when taken by  mouth.
babassu,There isn't enough reliable information available about babassu to know if it is safe.
bacillus-coagulans,There is not enough information to know if Bacillus coagulans is safe to use.
bacopa,"Bacopa extract is  POSSIBLY SAFE  for adults when taken by mouth appropriately and short-term, up to 12 weeks."
bael,There isn't enough information to know if bael is safe.
baikal-skullcap,Baikal skullcap is  POSSIBLY SAFE  for most adults when taken by mouth.
bamboo,There isn't enough reliable information available about bamboo to know if it is safe.
banaba,Banaba is  POSSIBLY SAFE  for most people when taken by mouth on a short-term basis.
baobab,Baobab is  LIKELY SAFE  when consumed as a food.
barley,Barley is  LIKELY SAFE  for most people when taken by mouth appropriately.
basil,Basil is  LIKELY SAFE  when taken by  mouth  in food amounts.
bay-leaf,Bay leaf and bay leaf oil is  LIKELY SAFE  for most people in food amounts.
bayberry,Bayberry is considered  POSSIBLY UNSAFE  when taken by  mouth.
bears-garlic,There isn’t enough information to know if bear’s garlic is safe.
bee-pollen,Bee pollen is  POSSIBLY SAFE  for most people when taken by mouth for up to 30 days.
bee-venom,Bee venom is safe for most people when injected under the skin by a trained medical professional.
beer,Beer is  LIKELY SAFE  for most people when used in moderation.
beeswax,"Beeswax is  LIKELY SAFE  for most people when taken by  mouth  as food or as a medicine, or when applied directly to the  skin."
beet,Beet is  LIKELY SAFE  for most people when taken in the amounts typically found in foods.
belladonna,Belladonna is  LIKELY UNSAFE  when taken by mouth.
benzoin,There is some evidence that benzoin might be safe for use as a medicine when taken by  mouth  or applied to the skin.
bergamot,Bergamot oil is  LIKELY SAFE  for most people in the small amounts found in food.
beta-alanine,Beta-alanine is  POSSIBLY SAFE  when taken by  mouth  appropriately for a short time.
beta-carotene,Beta-carotene is  LIKELY SAFE  in adults and children when taken by mouth in appropriate amounts for certain specific medical conditions.
beta-glucans,Beta-glucans are  LIKELY SAFE  for most adults when taken by mouth in amounts commonly found in foods.
betaine-anhydrous,Betaine anhydrous is  LIKELY SAFE  for most children and adults when taken by mouth appropriately.
betaine-hydrochloride,There isn't enough information to know if betaine hydrochloride is safe.
beta-sitosterol,Beta-sitosterol is  LIKELY SAFE  for most people when taken by mouth.
betel-nut,Not enough is known about the safety of taking betel nut by mouth short-term.
beth-root,Beth root might be  UNSAFE  to take by  mouth.
betony,There is not enough information about betony to know if it is safe to take.
bifidobacteria,Bifidobacteria are  LIKELY SAFE  for adults and children when taken by mouth appropriately.
bilberry,"The dried, ripe fruit of bilberry is  LIKELY SAFE  for most people when eaten in typical food amounts."
biocell-collagen,BioCell Collagen is  LIKELY SAFE  for adults when taken by mouth short-term in daily doses of 2 grams or less.
biotin,Biotin is  LIKELY SAFE  for most people when taken by mouth  appropriately or when applied to the skin as cosmetic products that contain 0.
birch,Birch is  POSSIBLY SAFE  for most adults when taken by  mouth  or applied to the skin for short periods of time.
bishops-weed,There isn't enough information to know if bishop's weed is safe.
bismuth,"Taking a certain bismuth salt called bismuth subgallate by mouth, short-term and as directed, is  LIKELY SAFE  when used to treat odor caused by an opening in the belly wall during surgery."
bistort,There isn't enough information to know if bistort is safe.
bitter-almond,Do not use bitter almond. Bitter almond is considered  LIKELY UNSAFE  when taken by  mouth.
bitter-melon,Bitter melon is  POSSIBLY SAFE  for most people when taken by mouth short-term (up to 3 months).
bitter-milkwort,There isn't enough information to know if bitter milkwort is safe.
bitter-orange,Bitter orange is  LIKELY SAFE  for children and adults when taken in the amounts found in food.
bitter-yam,"Wild, uncooked bitter yam can be  UNSAFE  to eat or take by  mouth  as medicine."
bittersweet-nightshade,The STEM of bittersweet nightshade might be safe for most adults.
black-alder,There isn’t enough information to know if black alder is safe.
black-bryony,Applying fresh black bryony root directly to the skin is  POSSIBLY UNSAFE.
black-cohosh,Black cohosh is  POSSIBLY SAFE  when taken by mouth appropriately by adults for up to one year.
black-currant,"Black currant is  LIKELY SAFE  when used as food, or when black currant berry, juice, extracts, or seed oil is used appropriately as medicine."
black-haw,Black haw stem bark is  LIKELY SAFE  for most people when taken by  mouth  in food amounts.
black-hellebore,Black hellebore is  LIKELY UNSAFE  when taken by  mouth.
black-horehound,"Black horehound is  POSSIBLY SAFE  for most people when taken by  mouth , but the potential side effects of black horehound are not known."
black-mulberry,There isn’t enough information to know whether or not black mulberry is safe.
black-mustard,Black mustard is  LIKELY SAFE  when eaten as part of a food such as mustard.
black-nightshade,Black nightshade is  UNSAFE  to take by  mouth.
black-pepper-and-white-pepper,Black pepper and white pepper are safe when used in food amounts and might be safe for most people when used in medicinal amounts.
black-psyllium,"Black psyllium, when taken by mouth with enough water, is  LIKELY SAFE  for most people."
black-raspberry,Black raspberry is safe when used as a food.
black-root,There isn’t enough information to know if taking black root is safe.
black-seed,"Black seed, when taken by mouth in small quantities, such as a flavoring for foods, is  LIKELY SAFE  for most people."
black-tea,Drinking moderate amounts of black tea is  LIKELY SAFE  for most adults.
black-walnut,Black walnut is  POSSIBLY SAFE  for most people when taken by  mouth  short-term.
blackberry,Blackberry is safe in amounts used as food.
blackthorn,Blackthorn might be  UNSAFE  when swallowed.
bladderwort,There isn't enough information to know if bladderwort is safe or what the possible side effects might be.
bladderwrack,Bladderwrack is  POSSIBLY SAFE  when applied to the skin.
blessed-thistle,Blessed thistle might be safe for most people.
blond-psyllium,Blond psyllium is  LIKELY SAFE  for most people when taken by mouth with plenty of fluids.
bloodroot,"Bloodroot is  POSSIBLY SAFE  for most people when taken by mouth, short-term."
blue-cohosh,Blue cohosh is  LIKELY UNSAFE  for adults when taken by mouth.
blue-flag,Blue flag is  UNSAFE.
blueberry,Blueberry fruit is  LIKELY SAFE  for most people when consumed in food amounts.
blue-green-algae,"Blue-green algae products that are free of contaminants, such as liver-damaging substances called microcystins, toxic metals, and harmful bacteria, are  POSSIBLY SAFE  for most people."
bog-bilberry,Fresh bog bilberry fruit might be  UNSAFE.
bogbean,Bogbean is safe in food amounts and might be safe for most people when used in medicinal amounts.
bois-de-rose-oil,"Bois de rose oil is safe when used in small amounts in foods, and it seems to be safe when applied directly to the skin."
boldo,Boldo might be  UNSAFE  when used for medicinal purposes.
boneset,Boneset is  POSSIBLY UNSAFE  when taken by  mouth  in large amounts.
borage,Borage seed oil is  POSSIBLY SAFE  when taken by mouth or applied to the skin appropriately.
boron,Boron is  LIKELY SAFE  for adults and children when used in doses less than the Upper Tolerable Limit (UL) (see dosage section below).
bovine-cartilage,"Bovine cartilage is  POSSIBLY SAFE  for most people when taken by mouth, applied to the skin, or administered as a shot into the muscle or below the skin for medicinal purposes."
bovine-colostrum,Bovine colostrum seems to be  LIKELY SAFE  for most people when taken appropriately by mouth.
boxwood,Boxwood extract (SPV 30) is  POSSIBLY SAFE  for most people when taken by  mouth  for up to 16 months.
branched-chain-amino-acids,Branched-chain amino acids are  LIKELY SAFE  when injected intravenously (by IV) by a healthcare professional.
breadfruit,There isn't enough information available to know if breadfruit is safe as a medicine or what the side effects might be.
brewers-yeast,Brewer's yeast is  POSSIBLY SAFE  for most people when taken by mouth short-term.
brickellia,It is not known if brickellia is safe or what the possible side effects might be.
bridelia,It isn't known if Bridelia is safe.
broccoli,Broccoli is  LIKELY SAFE  in the small amounts found in a normal diet.
broccoli-sprout,"Broccoli sprout is  LIKELY SAFE  to eat in amounts commonly found in food, as long as the broccoli sprouts are grown according to FDA guidelines."
bromelain,Bromelain is  POSSIBLY SAFE  for most people when taken in appropriate amounts.
brooklime,It is not known if brooklime is safe or what the possible side effects might be.
broom-corn,Broom corn is  LIKELY SAFE  when eaten in food amounts.
brown-algae,There is not enough information available to know if brown algae are safe to take for medical conditions.
brown-rice,Brown rice is safe for most people when consumed in amounts commonly found in foods.
brussels-sprout,Brussels sprout is  LIKELY SAFE  when consumed in food amounts.
bryonia,Bryonia is  LIKELY UNSAFE  for anyone to use.
buchu,Buchu is  LIKELY SAFE  in food amounts and  POSSIBLY SAFE  when used as a medicine.
buckhorn-plantain,Buckhorn plantain might be safe for most people in medicinal doses when taken by  mouth  or applied to the skin.
bucks-horn-plantain,It is not known if buck's-horn plantain is safe or what the possible side effects might be.
buckwheat,Buckwheat is  POSSIBLY SAFE  for adults when taken by mouth as a medicine.
bugle,There isn't enough information to know if bugle is safe or what the possible side effects might be.
bugleweed,"Bugleweed is  POSSIBLY SAFE  for most people when taken by  mouth , but  thyroid  disease should not be self-treated due to possible complications."
bulbous-buttercup,Bulbous buttercup is  LIKELY UNSAFE  when taken by  mouth  or applied directly to the skin.
bupleurum,There isn't enough information to know if bupleurum is safe.
burdock,Burdock is  LIKELY SAFE  when consumed in amounts commonly found in foods.
burning-bush,There isn’t enough information to know if burning bush is safe.
burr-marigold,There isn't enough information to know if burr marigold is safe.
butanediol-bd,Butanediol is  UNSAFE  when taken by mouth.
butchers-broom,Butcher's broom is  POSSIBLY SAFE  for most people when taken by mouth for up to 3 months.
butea-superba,There isn’t enough information to know if Butea superba is safe or what the possible side effects might be.
butterbur,"Some butterbur products may contain pyrrolizidine alkaloids (PAs), and that’s the major safety concern."
buttercup,Fresh buttercup is  UNSAFE.
butternut,"Butternut appears to be safe for most people, but it can cause  diarrhea  and irritation of the  stomach  and  intestines."
butylated-hydroxytoluene,BHT is safe in the amounts found in processed foods.
cabbage,Cabbage is  LIKELY SAFE  when consumed in food amounts.
cade,There isn’t enough information to know if taking cade is safe or what the possible side effects might be.
caffeic-acid,There is not enough information to know if caffeic acid is safe when taken as a supplement.
caffeine,Caffeine is  LIKELY SAFE  for most adults when used appropriately.
cajeput-oil,"Very small amounts of cajeput oil are  LIKELY SAFE  when added to food as flavoring, but the safety of taking larger amounts by  mouth  is unknown."
calabar-bean,Calabar bean is  UNSAFE.
calamint,There isn't enough information to know if calamint is safe or what the possible side effects might be.
calamus,Calamus is  LIKELY UNSAFE  when taken by mouth.
calanus-oil,"Special Precautions & Warnings: 
 Pregnancy and breast-feeding : There is not enough reliable information about the safety of taking calanus oil if you are pregnant or breast feeding."
calcium,Calcium is  LIKELY SAFE  for most people when taken by mouth or when given intravenously (by IV) and appropriately.
calcium-d-glucarate,There isn't not enough information to know if calcium D-glucarate is safe or what the potential side effects might be.
calea-zacatechichi,Calea zacatechichi is  POSSIBLY UNSAFE  when taken by mouth or inhaled.
calendula,Preparations of calendula flower are  LIKELY SAFE  for most people when taken by mouth or applied to the skin.
california-poppy,California poppy appears to be safe for most people when taken appropriately by  mouth  for three months or less.
calotropis,"Calotropis is  UNSAFE , especially in high doses."
camphor,Camphor is  LIKELY SAFE  for most adults when applied to the skin in a cream or lotion in low concentrations.
camu-camu,There isn’t enough information to know if camu camu is safe when used as a medicine.
canada-balsam,Canada balsam is  LIKELY SAFE  when taken by  mouth  in amounts commonly found in food.
canadian-fleabane,There isn't enough information available to know if Canadian fleabane is safe.
canadian-hemp,Canadian hemp is  UNSAFE  to take by  mouth  because of its effects on the heart and other side effects.
canaigre,"Canaigre seems to be safe for most people in usual amounts, but taking large amounts might be  UNSAFE."
cananga-oil,Cananga oil is safe to take by  mouth  in the amounts commonly used in food flavoring.
canella,It is not known if canella is safe or what the possible side effects might be.
cannabidiol,Cannabidiol is  POSSIBLY SAFE  when taken by mouth or sprayed under the tongue appropriately.
canthaxanthin,Canthaxanthin is  LIKELY SAFE  when taken by mouth in food amounts.
capers,Capers are  LIKELY SAFE  for most people when eaten as a food.
caprylic-acid,Caprylic acid is  LIKELY SAFE  for most people when taken by  mouth  in food amounts or when used at approved doses for nutritional supplementation and in tests to measure stomach emptying.
capsicum,Medicinal lotions and creams that contain capsicum extract are  LIKELY SAFE  for most adults when applied to the skin.
caralluma,Caralluma is  LIKELY SAFE  for most people when taken by mouth in amounts commonly found in foods.
caraway,Caraway is  LIKELY SAFE  for most people when taken by mouth in food amounts.
cardamom,Cardamom is  LIKELY SAFE  when taken by mouth in amounts commonly found in food.
carlina,There isn't enough information to know if carlina is safe.
carnosine,"Carnosine is  POSSIBLY SAFE  for most children and adults when taken by mouth, or in adults when used on the skin or in an enema."
carob,Carob is  LIKELY SAFE  for most people when taken by  mouth  in food amounts or as a medicine.
carqueja,There isn’t enough information to know if carqueja is safe.
carrageenan,Carrageenan is  LIKELY SAFE  for most people when taken by  mouth  in food amounts.
carrot,Carrot is  LIKELY SAFE  when eaten as a food.
cascara-sagrada,Cascara sagrada is  POSSIBLY SAFE  for most adults when taken by mouth for less than one week.
cascarilla,There isn't enough information to know if cascarilla is safe or what the possible side effects might be.
casein-peptides,Casein peptides are normally consumed in the diet from milk products. But there isn't enough information to know if casein peptides in  dietary supplements  are safe.
cashew,Cashew is  LIKELY SAFE  in normal food amounts.
cassava,Cassava is  LIKELY SAFE  for most people when eaten occasionally in normal food amounts if prepared properly.
cassia-auriculata,There isn't enough information available to know if Cassia auriculata is safe.
cassia-cinnamon,Cassia cinnamon is  LIKELY SAFE  when taken by mouth in amounts commonly found in foods and when taken by mouth in medicinal doses for up to 4 months.
cassia-nomame,It isn't known if Cassia nomame is safe or what the possible side effects might be.
cassie-absolute,"Cassie absolute seems to be safe in food amounts, but the safety and possible side effects of larger medicinal amounts are unknown."
castor-bean,Castor oil is  LIKELY SAFE  for most people when taken by mouth as a single dose.
castoreum,Castoreum is safe in usual food amounts and seems to be safe for most people when applied directly to the  skin.
catechu,Catechu is  LIKELY SAFE  when taken in amounts found in food.
catnip,Catnip is  POSSIBLY SAFE  for most adults when taken by mouth in small amounts.
cats-claw,"Cat's claw is  POSSIBLY SAFE  for most people, when taken by mouth short-term."
cats-foot,There isn’t enough information to know if cat’s foot is safe.
catuaba,There isn't enough information available to know if catuaba is safe.
cauliflower,Cauliflower is  LIKELY SAFE  when consumed in food amounts.
celery,Celery oil and celery seeds are  LIKELY SAFE  when taken by mouth in food amounts.
centaury,Centaury is safe when used in food amounts and seems safe for most people when used in medicinal amounts.
cereus,"Cereus seems safe for most people, when used for conditions other than  heart disease."
cesium,High doses of cesium might be  UNSAFE.
cetylated-fatty-acids,"Cetylated fatty acids are  POSSIBLY SAFE  when taken by mouth or applied to the skin, short-term."
ceylon-cinnamon,Consuming Ceylon cinnamon in food amounts is  LIKELY SAFE.
cha-de-bugre,There is not enough known about Cha de Bugre to know if there are any safety concerns or if it is safe to take.
chaga,It isn’t known if chaga is safe or what the possible side effects might be.
chanca-piedra,Chanca piedra is  POSSIBLY SAFE  when taken by mouth for a short time period (up to 3 months).
chaparral,Chaparral is  UNSAFE.
chaulmoogra,Chaulmoogra is  UNSAFE  when taken by  mouth  because it contains cyanide and might cause cyanide poisoning.
cheken,There isn't enough information available to know if cheken is safe or what the possible side effects might be.
chelated-minerals,There isn't enough information available to know if chelated minerals are safe.
chenopodium-oil,Chenopodium oil is  UNSAFE.
cherokee-rosehip,Cherokee rosehip appears to be safe for most people when taken at recommended doses.
cherry-laurel-water,Cherry laurel water seems safe for use when used in small amounts (up to about 1.
chervil,Chervil and chervil extracts are  LIKELY SAFE  in food amounts.
chia,Chia is  POSSIBLY SAFE  when taken by mouth for up to 12 weeks and when applied to the skin for up to 8 weeks.
chickweed,"Chickweed is  LIKELY SAFE  for most adults when taken by  mouth , but the potential side effects are not known."
chicory,Chicory is  LIKELY SAFE  for most adults when consumed in amounts found in food.
chinese-club-moss,There isn't enough information available to know if Chinese club moss is safe.
chinese-cucumber,Chinese cucumber ROOT is  UNSAFE.
chinese-mallow,There isn't enough information available to know if Chinese mallow is safe.
chinese-prickly-ash,There isn’t enough information to know if Chinese prickly ash is safe for use as a medicine.
chirata,Chirata is  LIKELY SAFE  when taken by  mouth  in the amounts found in beverages.
chitosan,Chitosan is  POSSIBLY SAFE  for most people when taken by mouth for up to 6 months or when applied to the skin for a short time.
chive,Chive is  LIKELY SAFE  for most people in food amounts.
chlorella,"Chlorella is  LIKELY SAFE  when taken by mouth, short-term (up to 29 weeks)."
chlorophyll,Chlorophyll is  LIKELY SAFE  for most people when taken by  mouth.
chlorophyllin,Chlorophyllin seems to be safe for most people.
choline,Choline is  LIKELY SAFE  for most adults when taken by mouth or given intravenously (by IV) in appropriate amounts.
chondroitin-sulfate,Chondroitin sulfate is  LIKELY SAFE  when taken by mouth or used as an eye solution during cataract surgery.
chromium,"Chromium is  LIKELY SAFE  for most adults when taken by mouth in medicinal amounts, short-term."
chrysanthemum,There isn't enough information to know if chrysanthemum is safe.
chrysin,Chrysin is  POSSIBLY SAFE  for most adults when taken by  mouth  for up to 8 weeks.
chuchuhuasi,It isn’t known if chuchuhuasi is safe or what the possible side effects might be.
chymotrypsin,Chymotrypsin is safe when used in the  eye  by a  healthcare  professional.
ciguatoxins,Ciguatoxins are  UNSAFE  when taken by mouth.
cilantro,Cilantro is  LIKELY SAFE  when taken by mouth in food amounts.
cinchona,Cinchona is  LIKELY SAFE  when used as a flavoring in tonic water and alcoholic beverages.
cissus-quadrangularis,Cissus quadrangularis is  POSSIBLY SAFE  when taken by mouth appropriately short-term (for up to 6-10 weeks).
citicoline,Citicoline is  POSSIBLY SAFE  when taken by mouth short-term (up to 90 days).
citronella-oil,Citronella oil seems to be safe for most people in the small amounts found in foods.
civet,Civet is safe for most people when used in the amounts found in foods.
clary-sage,Clary sage is safe when used in amounts found in foods.
clay,A type of clay known as  calcium  montmorillonite (NovaSil) is  POSSIBLY SAFE  when taken by  mouth  for a short period of time.
clematis,Fresh clematis is  UNSAFE  to take by  mouth.
clivers,Clivers is  POSSIBLY SAFE  for most people when taken appropriately by  mouth.
clove,Clove is  LIKELY SAFE  for most people when taken by mouth in amounts commonly found in food.
clowns-mustard-plant,Clown's mustard plant seems to be safe for most people when used for up to eight weeks.
club-moss,Club moss is  POSSIBLY UNSAFE  when taken by  mouth  because it contains several poisonous chemicals.
cnidium,There is not enough information about cnidium to know if it is safe.
coca,Coca leaf without the cocaine (decocainized) is  LIKELY SAFE  for most people when used in normal food amounts.
cocillana,There isn't enough information to know if cocillana is safe or what the possible side effects might be.
cocoa,Eating cocoa is  LIKELY SAFE  for most people.
coconut,Coconut is  LIKELY SAFE  when eaten in food amounts.
coconut-oil,Coconut oil is  LIKELY SAFE  when applied to the skin.
coconut-water,Coconut water is  LIKELY SAFE  for most adults when consumed as a drink.
cod-liver-oil,Cod liver oil is  LIKELY SAFE  for most adults and children when taken by mouth.
codonopsis,Codonopsis is  POSSIBLY SAFE  for most people when taken by  mouth  in appropriate amounts.
coenzyme-q10,Coenzyme Q10 is  LIKELY SAFE  for most adults when taken by mouth or when applied directly to the gums.
coffee,Coffee is safe for most adults.
coffee-charcoal,Coffee charcoal seems to be safe for most people.
cola-nut,Cola nut is  LIKELY SAFE  for most people when consumed in amounts found in foods.
coleus,"Coleus is  POSSIBLY SAFE  for most adults when given intravenously (by IV), when inhaled (breathed in), or when applied as eye drops."
collagen-type-ii,Collagen type II is  POSSIBLY SAFE  when taken by mouth in doses up to 2.
collard,Collard is  LIKELY SAFE  when consumed in food amounts.
colloidal-minerals,Colloidal minerals is  POSSIBLY UNSAFE  for use.
colloidal-silver,"Colloidal silver is  LIKELY UNSAFE  when taken by mouth, applied to the skin, or injected intravenously (by IV)."
colocynth,Colocynth is  UNSAFE  for use.
colombo,There isn't enough information available to know if colombo is safe.
coltsfoot,Coltsfoot is considered  UNSAFE.
columbine,There isn't enough information to know if columbine is safe for use as a medicine or what the possible side effects might be.
comfrey,Comfrey is  POSSIBLY SAFE  for most people when applied to unbroken skin in small amounts for less than 10 days.
common-stonecrop,There isn't enough information to know if common stonecrop is safe for use as a medicine.
condurango,Condurango seems safe for most people when used appropriately.
conjugated-linoleic-acid,Conjugated linoleic acid is  LIKELY SAFE  when taken by mouth in amounts found in foods and is  POSSIBLY SAFE  when taken by mouth in medicinal amounts (larger amounts than those found in food).
contrayerva,Contrayerva might be  UNSAFE  for use.
coolwort,There isn't enough information to know if coolwort is safe or what the side effects might be.
