ingredient,side_effects
alpine-ragwort,"There’s a lot of concern about using alpine ragwort as medicine, because it contains chemicals called hepatotoxic pyrrolizidine alkaloids (PAs), which may block  blood  flow in the veins and cause  liver  damage. Hepatotoxic PAs might also cause  cancer  and  birth defects . Alpine ragwort preparations that are not certified and labeled “hepatotoxic PA-free” are considered  UNSAFE .    It’s also  UNSAFE  to apply alpine ragwort to broken  skin . The dangerous chemicals in alpine ragwort can be absorbed quickly through broken skin and can lead to dangerous body-wide toxicity. Steer clear of skin products that aren’t certified and labeled “hepatotoxic PA-free.” There isn’t enough information to know if it’s safe to apply alpine ragwort to unbroken skin. It’s best to avoid use.  "
alpinia,"Alpinia is  LIKELY SAFE  for most adults when taken by  mouth  in amounts commonly found in foods.    Alpinia is  POSSIBLY SAFE  when taken by  mouth  for medicinal uses and when applied to the skin in a specific product also containing licorice, thyme, stinging nettle, and common grape vine (Ankaferd  blood  stopper).     "
amaranth,It is not known if amaranth is safe or what the possible side effects might be.     
ambrette,"Ambrette is  POSSIBLY SAFE  when taken by  mouth  in amounts found in food. The safety of taking larger amounts by  mouth  is unknown.    Ambrette is also  POSSIBLY SAFE  when a small amount of the dilute oil is applied directly to the  skin . In some people, ambrette can cause skin irritation.     "
american-adders-tongue,It is not known if American adder’s tongue is safe.  
american-bittersweet,There isn't enough information available to know if American bittersweet is safe or what the possible side effects might be.  
american-chestnut,"American chestnut is safe for most people in the amounts found in food and beverages. It is not known if American chestnut is safe in the larger amounts typically used as medicine. American chestnut might cause some side effects such as  stomach  and intestinal problems,  kidney  and  liver  damage, and certain cancers.  "
american-dogwood,It is not known if American dogwood is safe.      
american-elder,"American elder flowers or cooked, ripe fruit are safe for most adults in the amounts found in foods. There is some scientific evidence that suggests the flowers are safe in medicinal amounts, which are typically larger. Some side effects might include nausea, vomiting, weakness,  dizziness , numbness, and stupor.    The leaves, stems, or unripe fruit are  UNSAFE . If eaten, they can cause cyanide poisoning. Juice made from unripe fruit can also be poisonous.  "
american-ginseng,"American ginseng is  LIKELY SAFE  when taken by mouth appropriately, short-term. Doses of 100-3000 mg daily have been used safely for up to 12 weeks. Single doses of up to 10 grams have also been safely used. In addition, a specific American ginseng extract called CVT-E002 (Cold-FX, Afexa Life Sciences, Canada) has also been used safely for up to 4 months.    When taken by mouth, American ginseng can cause some side effects including diarrhea, itching, trouble sleeping (insomnia), headache, and nervousness. In some people, American ginseng might also cause rapid heartbeat, increased blood pressure or decreased blood pressure, breast tenderness, vaginal bleeding in women, and other side effects. Uncommon side effects that have been reported include a severe rash called Stevens-Johnson syndrome, liver damage, and severe allergic reaction.  "
american-hellebore,"American hellebore is  LIKELY UNSAFE  when taken by  mouth  or applied to the  skin . There are many possible side effects including irritation of the  mouth  and throat lining and slowing of the heartbeat.    Large doses can cause  vomiting ,  diarrhea , trouble swallowing, nerve problems, blindness, convulsions, paralysis,  trouble breathing , and death.     "
american-ivy,There isn’t enough information to know if American ivy is safe. The berries contain chemicals that are considered poisonous.  
american-mistletoe,"American mistletoe is  POSSIBLY UNSAFE  when taken by  mouth . All American mistletoe plant parts have historically been considered poisonous. However, some reports suggest that eating up to 20 berries or 5 leaves might not cause serious adverse effects. However, American mistletoe can cause  nausea ,  vomiting ,  diarrhea , decreased  heart rate ,  hallucinations , and  heart  problems in some people. Also, one of the chemicals in American mistletoe seems to be similar to poisons in cobra venom. This chemical can cause “cardiac arrest,” a condition in which the  heart  suddenly stops beating.     "
american-pawpaw,"American pawpaw is  POSSIBLY SAFE  when applied to the  skin  by adults and children, short-term. A shampoo containing American pawpaw extract, thymol, and tea tree oil has been applied safely to the head up to three times over 16 days. But in some people, American pawpaw extract might cause a red, itchy  rash  when applied to the skin.    There isn’t enough information to know if American pawpaw fruit or extract are safe when taken by  mouth . Eating American pawpaw fruit might cause side effects such as  hives , nausea, vomiting,  headache , or faintness in some people. When taken by mouth, American pawpaw extract might cause vomiting.    It can cause some side effects such as nausea,  rash , and  itching .  "
american-spikenard,"There isn't enough information to know if American spikenard is safe. If applied directly to the skin, it might be irritating.  "
american-white-water-lily,There isn't enough information to know if American white water lily is safe.     
andiroba,There isn’t enough information available to know if andiroba is safe to use.      
andrachne,There isn't enough information to know if andrachne is safe or what the possible side effects might be.  
andrographis,"Andrographis is  LIKELY SAFE  when taken by mouth appropriately, short-term. It also appears to be safe when taken as a specific combination product containing andrographis extract and Siberian ginseng (Kan Jang, Swedish Herbal Institute) for up to 3 months.    Andrographis can cause side effects such as loss of appetite, diarrhea, vomiting, rash, headache, runny nose, and fatigue.    When used in high doses or long-term, andrographis might cause swollen lymph glands, serious allergic reactions, elevations of liver enzymes, and other side effects.     "
androstenediol,"Androstenediol is  POSSIBLY UNSAFE  for most people when taken by  mouth . There is some concern that products can vary from what is listed on the label.    Women who take androstenediol might develop some male characteristics including deepening of the voice, facial  hair  growth,  acne , abnormal menstrual periods, male-pattern baldness, thickening of the  skin , and  depression .     "
androstenedione,"Androstenedione is  POSSIBLY UNSAFE  for most people when taken by mouth. Some side effects experienced by men include reduced sperm production, shrunken testicles, painful or prolonged erections,  breast  development, behavioral changes,  heart disease , and others. Women might develop masculine traits including deepening of the voice, facial hair, acne, male-pattern baldness, and coarsening of the skin. Women may also experience abnormal menstrual periods and  depression . Androstenedione can increase the chances of getting cancers of the  breast ,  prostate , or  pancreas ; and it is poisonous to the liver.    There is some concern that the strength and purity of androstenedione products may not match the product labeling.      "
androstenetrione,"Androstenetrione might be  UNSAFE  for anyone. If it actually increases  testosterone  levels in the body, the extra  testosterone  could cause serious side effects including  liver  problems,  heart  problems, and  cancer . Avoid using androstenetrione.  "
angelica,"Angelica is  LIKELY SAFE  when taken by mouth in amounts normally found in foods. There isn't enough information to know if angelica is safe when taken by mouth in medicinal amounts.    

Angelica is  POSSIBLY SAFE  for most adults when used as a cream, short-term.   

If you take angelica, wear sunblock outside, especially if you are light-skinned. Angelica might make your skin more sensitive to sunlight.

 "
angels-trumpet,"Angel's trumpet is  UNSAFE  for everyone. The entire plant is poisonous, but the leaves and seeds contain the most poison. Taking angel’s trumpet can cause confusion, dilated pupils, intense thirst,  dry skin , flushing, fever, high or  low blood pressure , fast heartbeat, difficulty breathing, hallucinations, nervousness, loss of memory, convulsions, paralysis,  coma , and death.     "
angostura,"Angostura extract is  LIKELY SAFE  for most adults when used in amounts commonly found in foods or drinks. There isn't enough information to know if angostura is safe in medicinal amounts, which are typically larger than the amounts found in foods or drinks. Large doses of angostura might cause nausea and vomiting.     "
anhydrous-crystalline-maltose,"Anhydrous crystalline maltose is  POSSIBLY SAFE  when taken by  mouth  as a medicine for up to 6 months. It is not clear if anhydrous crystalline maltose causes side effects. So far, none have been reported.  "
anise,Anise is  LIKELY SAFE  for most adults when taken by mouth in amounts typically found in foods. There isn't enough information available to know if anise is safe to take by mouth in medicinal amounts.      
annatto,Annatto is  LIKELY SAFE  for most people when used in food amounts. It is not known if annatto is safe for use as a medicine.     
antineoplastons,"Antineoplastons A10 and AS2-1 are  POSSIBLY SAFE  when taken by mouth or injected intravenously (by IV) in appropriate amounts for a short time. There is not enough information to know if other forms of antineoplastons are safe when given by mouth or by IV short-term.    Antineoplastons A10 and AS2-1 are  POSSIBLY UNSAFE  when taken by mouth or injected by IV in higher doses or for longer periods of time. Giving antineoplastons in higher doses or for longer periods of time seems to increase the number of side effects.    Side effects of antineoplastons include irregular heartbeat, increased blood pressure, skin rash, nausea, vomiting, stomach pain, gas, liver problems, joint swelling, muscle and joint pain, weakness, tiredness, headache, ringing in the ears, dizziness, and fever.  "
apoaequorin,"Apoaequorin is  POSSIBLY SAFE  when taken by  mouth  appropriately. A 10 mg dose of a specific apoaequorin product (Prevagen, Quincy Bioscience) has been used safely for up to 90 days. No clinical research has adequately evaluated side effects caused by apoaequorin. Some people who have taken apoaequorin have reported potential side effects to a manufacturer of the product. Some of the most commonly reported side effects were  headache ,  dizziness , and  nausea . Others less common events were memory problems, difficulty sleeping, and  anxiety . There have also been a smaller number of reports of more serious potential side effects such as  heart  and  nervous system -related events. It is important to understand that although these events occurred while people took this product, this does not necessarily mean that the product caused these events. There is not enough information about these potential side effects to know if apoaequorin was the actual cause of these side effects.  "
apple,"Apples are  LIKELY SAFE  for most people, as long as the seeds aren't eaten. No side effects are generally known or expected to occur with apple fruit or apple juice.   

The apple seeds, however, contain cyanide and are poisonous. Eating enough seeds (in one case, one cup of apple seeds) can cause death. The cyanide is released in the stomach as the seeds are digested, so it may take several hours for the symptoms of poisoning to appear.   

Apple polyphenols are  POSSIBLY SAFE  when taken by mouth or applied directly to the skin, short-term.   
 "
apple-cider-vinegar,"Consuming apple cider vinegar in food amounts is  LIKELY SAFE . Apple cider vinegar is  POSSIBLY SAFE  for most adults when used short-term for medical purposes.    In some cases, consuming a lot of apple cider vinegar might not be safe. Consuming 8 ounces of apple cider vinegar per day, long-term might lead to problems such as low potassium. There has been one report of a person who developed low potassium levels and weak bones (osteoporosis) after taking 250 mL apple cider vinegar daily for 6 years. In another report, a woman who had an apple cider vinegar tablet lodged in her throat for 30 minutes developed tenderness and pain in her voice box and difficulty swallowing for 6 months following the incident. This was thought to be due to the acid content of the tablet.  "
apricot,Apricot is safe when consumed as a food. There is not enough information to know if it is safe when used for a medical condition.  
apricot-kernel,"Apricot kernel is  LIKELY UNSAFE  to take by mouth or as an injection into the veins (by IV). It contains a toxic chemical known as amygdalin. In the body this chemical is converted to cyanide which can cause serious side effects, including seizures, breathing problems, or even death.   
 "
arabinoxylan,"There isn't enough reliable information to know whether arabinoxylan is safe. When taken by  mouth , arabinoxylan might cause  diarrhea , gas, or  stomach pain .  "
arenaria-rubra,There isn't enough information to know if arenaria rubra is safe or what the possible side effects might be.  
aristolochia,"Aristolochia is  UNSAFE . It contains aristolochic acid, which is toxic to the  kidneys  and causes  cancer . Use of aristolochia can cause kidney damage leading to the need for  kidney dialysis  and  kidney transplant . It also greatly increases the risk of  bladder cancer  and other urinary tract cancers.    Health authorities around the world have taken action to protect the public against aristolochia and aristolochic acid. Aristolochia is banned in Germany, Austria, France, Great Britain, Belgium, and Japan. In the U.S., the Food and Drug Administration (FDA) seizes any product that it believes might contain aristolochic acid. The FDA will not release the product until its maker proves the product does not contain aristolochic acid. Health Canada, the Canadian health authority, removed five aristolochia-containing Chinese herbal medicine products from sale. The products include Touku Natural Herbal  Rheumatic  Pills, two brands of Tri-Snakegall & Fritillary Powder, Tracheitis Pills, and Gastropathy Capsules.  "
arnica,"Arnica is  POSSIBLY SAFE  when taken by mouth in the amounts commonly found in food or when applied to unbroken skin short-term. The Canadian government, however, is concerned enough about the safety of arnica to prohibit its use as a food ingredient.   

Amounts that are larger than the amount found in food are  LIKELY UNSAFE  when taken by mouth. In fact, arnica is considered poisonous and has caused death. When taken by mouth it can also cause irritation of the mouth and throat, stomach pain, vomiting, diarrhea, skin rashes, shortness of breath, a fast heartbeat, an increase in blood pressure, heart damage, organ failure, increased bleeding, coma, and death.   

Arnica is often listed as an ingredient in homeopathic products; however, these products are usually so dilute that they contain little or no detectable amount of arnica.   
 "
arrach,"There isn't enough information to know if arrach is safe. Arrach can cause skin to become extra sensitive to the sun. Wear sunblock outside, especially if you are light-skinned.  "
arrowroot,Arrowroot is  LIKELY SAFE  when the starch is used in foods. It is  POSSIBLY SAFE  when used as a medicine that is taken by  mouth  or applied to the  skin .     
arsenic,"Arsenic is  LIKELY SAFE  when eaten in normal food amounts. The form of arsenic found naturally in foods (organic arsenic) does not seem to cause any harm.at a level of 50 mcg/L has been linked to reduced scores on intelligence tests in children.    Also, arsenic trioxide (Trisenox) is  LIKELY SAFE  when given intravenously (by IV) to adults by a healthcare provider. It is an FDA-approved prescription drug.    Other forms of arsenic (inorganic arsenic) are  LIKELY UNSAFE  when taken by mouth. These forms can be very poisonous, even in small doses. Don’t take arsenic supplements. Taking 10 mcg/kg/day over a period of time can produce symptoms of arsenic poisoning. Taking 5 mg of arsenic, or sometimes less, can cause digestive tract symptoms. Higher doses can cause severe poisoning and death. Inorganic arsenic is classified as a human cancer-causing agent.    Laws have been made to regulate the amount of arsenic that is allowed in the water supply. The maximum permissible level of arsenic in drinking water is 10 mcg/L. Long-term exposure to arsenic in drinking water at a level of 50 mcg/L has been linked to reduced scores on intelligence tests in children.     "
artemisia-herba-alba,There is not enough information to know if Artemisia herba-alba is safe.    Some people involved in a research project that studied Artemisia herba-alba experienced lowered  blood pressure  and lowered  heart  rate. The significance of these effects is unknown.  
artichoke,"Artichoke is  LIKELY SAFE  when consumed in amounts used in foods.    

Artichoke is  POSSIBLY SAFE  when taken by mouth as a medicine. It has been used safely in research for up to 23 months.   

In some people, artichoke can cause side effects such as gas, upset stomach, and diarrhea. Artichoke might also cause allergic reactions. People at the greatest risk of allergic reactions are those who are allergic to plants such as marigolds, daisies, and other similar herbs.   
 "
arum,"Arum is  UNSAFE  when taken by  mouth . The root has poisonous chemicals that can cause a  swollen tongue . These chemicals can also cause bloody  vomiting  and bloody  diarrhea , which are signs of dangerous bleeding inside the body.     "
asafoetida,"Asafoetida is  LIKELY SAFE  for most people in the amounts typically found in foods. There is some evidence that asafoetida is  POSSIBLY SAFE  when taken by mouth as medicine. In some people, asafoetida can cause swelling of the lips, burping, intestinal gas, diarrhea, headache, convulsions,  blood disorders , and other side effects.     "
asarum,"Asarum is  POSSIBLY SAFE  when taken by  mouth  short-term, as long as it isn’t contaminated with a chemical called aristolochic acid.    Asarum that is not contaminated with aristolochic acid is  POSSIBLY UNSAFE  when taken by mouth in large amounts or for longer durations. Large amount of Asarum, even if it is free from contamination, may cause nausea, vomiting, burning of the  tongue ,  diarrhea , rash, and paralysis.    Asarum is  UNSAFE  when taken by mouth for any length of time if it’s contaminated with the chemical aristolochic acid. This chemical can damage the  kidney  or cause  cancer .      "
ascorbigen,"Ascorbigen seems to be safe for use for up to one month. It can cause intestinal gas,  bloating , and unpleasant taste.  "
ash,There isn’t enough information to know if ash is safe to use as medicine.     
ashitaba,There is not enough information available to know if ashitaba is safe.  
ashwagandha,"Ashwagandha is  POSSIBLY SAFE  when taken by mouth short-term. The long-term safety of ashwagandha is not known. Large doses of ashwagandha might cause  stomach  upset,  diarrhea , and vomiting.    It’s not known whether it’s safe to apply ashwagandha directly to the skin.  "
asian-water-plantain,"Asian water plantain is  POSSIBLY UNSAFE  when taken by mouth. The fresh rootstock contains chemicals that are poisonous.

 "
asparagus,"Asparagus is safe when eaten in food amounts. However, there isn't enough information to know if asparagus is safe when used in larger medicinal amounts.    Asparagus can cause allergic reactions when eaten as a vegetable or used on the skin.  "
asparagus-racemosus,There is not enough information available to know if asparagus racemosus is safe.  
aspartic-acid,"Aspartic acid is  LIKELY SAFE  when consumed in food. However, it is not known if aspartic acid is safe when used as medicine. 

 "
aspen,"There isn't enough information to know if aspen is safe.  Skin  reactions, such as  rashes , can occur if aspen comes in contact with the skin.    Don't drink alcohol while taking aspen. Alcohol can increase the risk and seriousness of bleeding in the  stomach  and  intestines .     "
astaxanthin,"Astaxanthin is  LIKELY SAFE  when it is consumed in amounts found in food.   

Astaxanthin is  POSSIBLY SAFE  when taken by mouth as a supplement. Astaxanthin has been used safely by itself in doses of 4 to 40 mg daily for up to 12 weeks, or 12 mg daily for 6 months.  It has been used safely in combination with other carotenoids, vitamins, and minerals at 4 mg daily for up to 12 months. Side effects of astaxanthin may include increased bowel movements and red stool color. High doses of astaxanthin may cause stomach pain.   
 "
astragalus,"Astragalus is  POSSIBLY SAFE  for most adults when taken by mouth or given intravenously (by IV) under the supervision of a medical professional. Doses of up to 60 grams/day for 4 months have been safely taken by mouth. Doses of 80 grams/day intravenously (by IV) have been safely administered for 4 months. When taken by mouth, astragalus may cause rash, itchy skin, nasal symptoms, or stomach discomfort. However, these events are uncommon. When given by IV, astragalus may cause dizziness or irregular heartbeat.   
 "
atlantic-cedar,Atlantic cedar oil is  POSSIBLY SAFE  for most people when applied to the skin for up to 7 months. There isn't enough information to know if Atlantic cedar is safe when taken by  mouth .     
atractylodes,"Atractylenolide, a chemical found in atractylodes, seems to be safe when taken in appropriate amounts (1.32 grams daily) for a short period of time (up to seven weeks). It can cause  nausea ,  dry mouth , and leave a bad taste in the  mouth .    There isn't enough information to know if other atractylodes products are safe.  "
autumn-crocus,"Autumn crocus is  UNSAFE . It is considered a poison, and can cause burning of the  mouth  and throat,  vomiting ,  diarrhea ,  liver  and  kidney  problems,  blood disorders , nerve problems, shock, organ failure, and death. There have been reports of poisoning when autumn crocus bulbs were mistaken for onions and eaten.    If you have  gout  or familial Mediterranean fever, it is much safer to use  colchicine  prescribed by your  healthcare  provider. Prescription  colchicine  contains a set amount of medicine. The amount of colchicine in autumn crocus can vary from plant to plant.  "
avens,Avens is safe when used in small amounts as a food flavoring. There isn't enough information to know if it is safe when used in larger medicinal amounts.  
avocado,"Avocado is  LIKELY SAFE  for most people when the fruit is eaten in food amounts. Avocado is  POSSIBLY SAFE  when applied to the skin for up to 3 months. It generally has few side effects, although one person who used a specific avocado oil plus vitamin B12 cream for psoriasis reported mild itching.   

Keep in mind that avocado has a lot of calories because of its fat content.   
 "
avocado-sugar-extract,It is not known if avocado sugar extract is safe.  
ba-ji-tian,Ba ji tian is  LIKELY SAFE  for most people when taken by  mouth .     
babassu,There isn't enough reliable information available about babassu to know if it is safe.  
bacillus-coagulans,There is not enough information to know if Bacillus coagulans is safe to use. This product has not been studied in people.     Pregnant  or  breast -feeding women should stay on the safe side and avoid using Bacillus coagulans.  
